S.No.,Name,CMP Rs.,All time high Rs.,No. Eq. Shares Cr.,Sales Qtr Rs.Cr.,NP Qtr Rs.Cr.,Qtr Profit Var %,Qtr Sales Var %,Exp Qtr Sales Var %,Sales Rs.Cr.,EBIT 12M Rs.Cr.,PAT 12M Rs.Cr.,Sales growth %,Profit growth %,ROE %,ROCE %,ROA 12M %,Sales Var 3Yrs %,Profit Var 3Yrs %,ROE 3Yr %,ROCE3yr avg %,ROA 3Yr %,EPS 12M Rs.,P/E,CMP / BV,CMP / Sales,PEG,Curr price to Graham,Cur price to Int val,Div Yld %,Dividend Payout %,CF Opr 3Yrs Rs.Cr.,CF Operations Rs.Cr.,CF Investing Rs.Cr.,CF Financing Rs.Cr.,Net CF Rs.Cr.,Free Cash Flow Rs.Cr.,Free Cash Flow 3Yrs Rs.Cr.,Int Coverage,Debt / Eq,Asset Turnover,Inven TO,EV / EBITDA,Unpledged Prom Hold %,Chg in Prom Hold 3Yr %,Change in Prom Hold %,Chg in FII Hold %,Chg in DII Hold %,Piotski Scr,Altman Z Scr,G Factor,Ind PE,Mar Cap Rs.Cr.,Vol 1d,BSE Code,NSE Code,Industry,Drop_from_AT_high,Strat_AT_HIGH
1.0,Reliance Industr,1432.8,1608.95,1353.24,261388.0,22611.0,2.41,10.51,7.26,964693.0,130286.0,69648.0,7.3,-0.21,8.51,9.43,4.39,11.57,5.84,8.89,9.39,4.63,51.47,27.82,2.31,2.01,2.72,1.69,2.31,0.35,10.69,452523.0,178703.0,-137535.0,-31891.0,9277.0,41079.0,45521.0,5.37,0.44,0.52,4.21,12.01,50.11,-0.55,-0.02,-0.09,0.34,5.0,3.01,2.0,20.12,1938917.81,21282058,500325.0,RELIANCE,Refineries,-0.11,Other
2.0,TCS,3461.75,4592.25,361.81,64479.0,12293.0,-1.69,5.29,6.0,255324.0,66081.0,48519.92,5.99,4.14,52.38,64.63,32.07,10.01,8.19,50.3,62.52,31.44,134.2,25.79,13.19,4.91,3.04,3.89,2.14,1.59,92.45,135211.0,48908.0,-2144.0,-47438.0,-674.0,44994.0,125584.0,83.02,0.1,1.68,2.0,17.48,71.77,-0.53,0.0,-0.64,0.63,4.0,16.76,4.0,29.51,1252491.35,2170026,532540.0,TCS,Computers - Software - Large,-0.25,Other
3.0,Infosys,1507.0,2006.8,415.33,40925.0,7038.0,-11.75,7.92,6.09,162990.0,37733.0,26516.13,6.06,1.89,28.83,37.5,18.62,10.25,6.45,30.72,39.32,19.47,64.32,23.58,6.51,3.84,2.36,2.61,1.42,2.84,66.74,83371.0,35694.0,-1864.0,-24161.0,9669.0,33457.0,76354.0,90.7,0.09,1.14,,14.33,14.6,1.49,0.17,-0.41,0.13,6.0,9.99,4.0,29.51,625896.86,8825944,500209.0,INFY,Computers - Software - Large,-0.25,Other
4.0,Hind. Unilever,2349.6,3035.0,234.96,15670.0,2475.0,2.61,3.02,1.98,63121.0,14505.0,10423.69,1.98,1.47,20.72,27.85,13.19,6.37,5.36,20.47,27.21,13.65,45.32,52.92,11.13,8.75,6.13,5.07,3.04,1.79,116.96,37346.0,11886.0,6473.0,-13101.0,5258.0,10624.0,33616.0,36.72,0.03,0.8,7.25,34.44,61.9,0.0,0.0,-0.81,0.81,7.0,13.4,4.0,53.35,552059.96,2001184,500696.0,HINDUNILVR,Personal Care - Multinational,-0.23,Other
5.0,ITC,436.5,495.46,1251.41,18790.17,5013.18,-8.4,9.28,7.87,75160.56,27097.75,19868.95,7.73,-2.09,28.43,37.47,23.33,12.89,15.65,27.51,36.64,22.55,16.12,27.54,7.28,7.27,2.74,2.96,2.4,3.16,83.91,51831.92,17178.86,1562.77,-18550.96,190.67,13723.81,43674.51,559.99,0.0,0.8,2.19,18.72,0.0,0.0,0.0,-0.3,0.28,5.0,12.55,5.0,32.56,546241.31,13017814,500875.0,ITC,Cigarettes,-0.12,Other
6.0,Life Insurance,815.5,1222.0,632.5,203751.32,11008.68,16.69,-4.81,10.3,885803.83,44869.47,43039.98,9.56,6.83,63.45,72.95,0.83,6.98,139.61,79.15,116.09,0.58,68.08,12.03,5.3,0.58,0.16,1.68,0.74,1.27,15.46,76857.62,26121.65,-25268.76,-4427.2,-3574.31,25408.93,75506.14,,0.0,0.17,,10.84,96.5,,0.0,0.03,0.01,6.0,0.37,4.0,49.53,515803.56,779823,543526.0,LICI,Finance & Investments,-0.33,Other
7.0,Larsen & Toubro,3324.0,3963.5,137.52,64667.78,3973.98,13.96,17.31,17.02,248420.86,31455.63,13874.33,16.98,9.68,14.68,13.44,4.59,17.59,-2.45,12.36,11.82,3.82,101.36,32.98,5.09,1.84,4.04,2.73,2.26,0.84,35.79,60206.82,18266.28,2178.89,-25413.36,-4968.19,14055.81,49163.05,3.29,1.41,0.66,11.73,15.92,0.0,0.0,0.0,-1.03,1.0,7.0,3.75,2.0,30.06,457113.92,1748665,500510.0,LT,Engineering - Turnkey Services,-0.16,Other
8.0,Sun Pharma.Inds.,1835.15,1960.35,239.93,13675.46,2912.98,22.66,10.46,8.79,51602.5,13986.9,11791.48,8.76,25.94,16.69,17.32,12.08,13.13,25.14,15.84,17.02,11.17,47.65,37.34,6.4,8.53,1.6,3.3,2.61,0.75,33.82,26078.85,12134.98,-762.9,-6710.16,4661.92,9964.01,20408.88,54.68,0.04,0.58,1.12,26.22,54.0,0.0,0.0,-0.08,0.15,9.0,10.63,2.0,29.05,440314.02,2418766,524715.0,SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,-0.06,Other
9.0,HCL Technologies,1574.1,2012.2,271.37,30246.0,4309.0,8.1,6.13,6.51,117055.0,23905.0,17399.0,6.5,11.72,25.23,31.88,17.01,10.97,9.08,23.87,29.91,16.43,64.12,24.55,6.09,3.65,2.53,2.59,1.85,3.4,93.63,62718.0,22261.0,-4914.0,-18561.0,-1214.0,21178.0,59175.0,37.12,0.09,1.14,12.75,14.73,60.81,0.09,0.0,-0.23,0.23,6.0,9.68,4.0,29.51,427158.01,1923111,532281.0,HCLTECH,Computers - Software - Large,-0.22,Other
10.0,Maruti Suzuki,12429.0,13680.0,31.44,40920.1,3911.1,-1.04,6.37,8.08,152913.0,19814.2,14500.2,7.79,7.44,15.95,21.76,11.73,20.07,72.51,15.31,19.86,11.19,461.2,26.93,4.04,2.56,0.77,2.21,1.39,1.01,29.27,43751.9,16136.2,-14456.1,-4155.1,-2475.0,5533.1,16037.4,102.03,0.0,1.24,17.58,15.35,58.28,1.91,0.0,-0.51,0.67,7.0,7.4,5.0,26.9,390770.96,820180,532500.0,MARUTI,Automobiles - Passenger Cars,-0.09,Other
11.0,M & M,3008.0,3276.3,124.35,41470.05,3624.48,19.64,17.48,11.85,152063.24,27158.99,12388.01,11.74,11.29,18.39,13.58,5.59,23.25,80.02,17.11,12.26,5.07,99.62,30.27,5.36,2.46,1.8,2.67,2.37,0.71,20.87,-3456.42,-5629.95,-5614.77,12281.41,1036.69,-15302.71,-25215.83,3.13,1.66,0.63,4.76,14.59,18.45,-1.02,-0.03,-0.62,0.55,6.0,4.01,5.0,26.9,374053.51,3442723,500520.0,M&M,Automobiles - Passenger Cars,-0.08,Other
12.0,UltraTech Cem.,11705.8,12341.0,29.47,23063.32,2474.79,7.44,12.95,5.45,75955.13,9276.1,6117.27,7.12,-12.41,9.34,10.93,5.22,13.03,-5.16,10.36,12.99,6.08,204.94,56.39,4.85,4.54,38.1,3.52,3.0,0.59,37.82,30639.48,10673.43,-16504.45,5075.76,-755.26,1722.8,6699.22,5.62,0.34,0.65,3.59,27.64,59.23,-0.73,-0.77,-1.81,1.64,4.0,5.66,2.0,46.38,344945.54,258078,532538.0,ULTRACEMCO,Cement - North India,-0.05,Other
13.0,NTPC,349.7,448.45,969.67,45052.82,5169.69,-1.8,5.21,6.36,185891.75,42214.54,21979.97,6.14,12.7,13.62,10.47,4.64,16.97,10.82,12.78,9.81,4.24,22.67,15.39,1.99,1.82,2.25,1.18,1.38,2.24,36.11,129724.6,40784.59,-32141.37,-8245.53,397.69,10043.27,49932.13,3.38,1.44,0.39,6.84,9.68,51.1,0.0,0.0,-0.41,0.46,8.0,2.32,3.0,31.51,339092.39,11493245,532555.0,NTPC,Power Generation And Supply,-0.22,Other
14.0,Hind.Aeronautics,4579.1,5675.0,66.88,6956.93,1432.6,14.29,14.78,14.22,32049.83,11423.79,8646.28,14.03,40.72,28.89,38.88,10.12,9.91,32.84,28.45,33.31,9.36,129.35,35.45,9.85,9.56,1.34,3.94,2.86,0.78,30.82,27241.67,8225.74,-6411.73,-1998.85,-184.84,6478.81,22221.65,361.63,0.0,0.41,0.72,21.89,71.64,-3.51,0.0,-0.18,0.13,9.0,7.39,4.0,79.81,306238.76,2073873,541154.0,HAL,Engineering,-0.19,Other
15.0,O N G C,238.45,345.0,1258.03,166096.68,9783.64,-17.97,-0.75,2.62,659221.21,70071.07,39568.13,2.54,-16.76,16.26,18.43,8.81,24.86,47.06,16.51,16.05,8.07,31.01,7.65,0.83,0.46,0.78,0.54,0.7,5.06,31.31,263573.04,99262.69,-57203.42,-45650.29,-3591.02,61597.95,154437.93,5.11,0.54,0.89,4.65,4.36,58.89,-0.02,0.0,-0.42,0.53,8.0,2.54,6.0,17.18,299976.82,12579108,500312.0,ONGC,Oil Drilling / Allied Services,-0.31,Other
16.0,Adani Ports,1366.5,1621.4,216.01,8488.44,3023.1,29.88,23.08,16.72,31078.6,16091.75,11268.18,16.35,27.1,19.56,14.61,8.93,21.99,29.19,17.58,12.35,7.57,51.35,26.2,4.74,9.5,1.09,2.36,1.58,0.46,13.63,44143.36,17226.28,-9787.27,-6915.52,523.49,9228.08,19818.32,5.72,0.82,0.25,0.0,16.61,65.89,0.35,0.0,-0.51,0.53,7.0,4.83,3.0,20.36,295183.04,13315702,532921.0,ADANIPORTS,Miscellaneous,-0.16,Other
17.0,Power Grid Corpn,310.25,366.25,930.06,11233.03,3861.63,-4.14,-2.74,-1.36,45495.08,27682.91,15544.9,-1.37,-1.17,19.0,13.21,6.43,4.97,7.9,19.16,12.53,6.03,16.71,18.55,3.14,6.34,2.19,1.61,2.2,3.6,67.19,103615.89,37289.5,-13114.39,-25903.33,-1728.22,25885.76,76003.3,3.33,1.33,0.18,0.24,9.89,51.34,0.0,0.0,-1.32,1.31,7.0,2.9,2.0,31.51,288551.27,8506454,532898.0,POWERGRID,Power Generation And Supply,-0.15,Other
18.0,Adani Enterp.,2482.95,4190.0,115.42,26965.86,4014.9,88.79,-7.59,2.73,97894.75,12511.03,4602.61,1.53,31.12,10.3,9.71,2.89,12.14,81.09,9.94,9.68,2.49,61.51,62.22,5.75,2.93,1.56,3.2,5.11,0.06,2.11,32451.75,4513.1,-26258.61,21947.34,201.83,-24294.3,-33256.71,2.09,1.82,0.55,5.2,22.21,73.3,-0.94,0.0,-0.01,0.25,5.0,3.41,4.0,27.81,286577.31,2044702,512599.0,ADANIENT,Trading,-0.41,Other
19.0,Avenue Super.,4025.95,5900.0,65.07,14871.86,550.79,-2.19,16.86,16.89,59358.05,3742.12,2707.45,16.87,7.56,13.49,18.02,11.9,24.21,21.96,14.52,19.18,12.95,41.61,96.72,12.25,4.41,6.06,7.25,4.45,0.0,0.0,7839.08,2462.97,-2185.31,-259.3,18.36,-954.24,-506.42,53.88,0.04,2.61,11.27,56.91,74.65,-0.34,0.0,-0.78,1.01,4.0,21.64,5.0,40.99,261981.87,786383,540376.0,DMART,Trading,-0.32,Other
20.0,Wipro,244.2,369.93,1047.33,22504.2,3588.1,25.93,1.33,-0.71,89088.4,18972.7,13135.4,-0.75,20.62,16.74,19.67,10.89,3.95,2.41,15.64,18.09,10.16,12.54,19.53,3.16,2.87,3.15,1.64,1.76,2.45,47.83,47624.3,16942.6,-8073.0,-6396.3,2473.3,15651.1,44255.2,12.85,0.23,0.73,3.95,11.98,72.73,-0.27,-0.02,0.54,-0.73,6.0,5.83,6.0,29.51,255758.08,15099872,507685.0,WIPRO,Computers - Software - Large,-0.34,Other
