date,ticker,open,high,low,close,volume,signi,trend_pattern,adx_pattern,dema_pattern,macd_pattern,strend_pattern,rsi_pattern,stoch_pattern,obv_pattern,volprice_pattern,candle_pattern,Industry,Market Capitalization
2025-04-04,20MICRONS,204.61,206.0,192.0,198.27,146828,NA,NA,NA,NA,NA,NA,NA,NA,NA,bearish volprice,NA,Mining / Minerals / Metals,722.51
2025-04-07,20MICRONS,180.0,194.89,168.0,190.01,172631,NA,NA,NA,NA,NA,NA,NA,NA,NA,bearish volprice,NA,Mining / Minerals / Metals,722.51
2025-04-08,20MICRONS,198.0,198.99,187.92,191.13,84100,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Mining / Minerals / Metals,722.51
2025-04-09,20MICRONS,190.9,192.09,185.11,190.32,45504,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Mining / Minerals / Metals,722.51
2025-04-11,20MICRONS,196.6,199.79,192.16,195.15,43483,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Mining / Minerals / Metals,722.51
2025-04-15,20MICRONS,199.11,207.03,198.05,204.64,84307,NA,NA,NA,NA,NA,NA,NA,NA,NA,bullish volprice,NA,Mining / Minerals / Metals,722.51
2025-04-16,20MICRONS,205.15,208.58,204.02,206.24,58695,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Mining / Minerals / Metals,722.51
2025-04-17,20MICRONS,207.9,224.45,206.24,218.38,333590,NA,NA,NA,NA,NA,NA,NA,NA,NA,bullish volprice,NA,Mining / Minerals / Metals,722.51
2025-04-21,20MICRONS,220.3,221.99,216.75,218.62,94696,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Mining / Minerals / Metals,722.51
2025-04-22,20MICRONS,218.0,232.65,215.21,227.47,242827,NA,NA,NA,NA,NA,NA,NA,NA,NA,bullish volprice,NA,Mining / Minerals / Metals,722.51
2025-04-04,360ONE,912.5,931.8,837.95,849.35,962981,,,,bearish DEMA,,,,,,bearish volprice,,Finance & Investments,36679.65
2025-04-07,360ONE,806.6,897.95,790.5,886.55,919861,,,,,,,,,,,,Finance & Investments,36679.65
2025-04-08,360ONE,883.0,889.8,843.05,847.7,880189,,,,,,,,,,,,Finance & Investments,36679.65
2025-04-09,360ONE,848.05,852.75,804.3,808.55,554023,,,,,,,,,,,,Finance & Investments,36679.65
2025-04-11,360ONE,825.95,880.9,812.0,870.2,1958890,,,,,,,,,,bullish volprice,,Finance & Investments,36679.65
2025-04-15,360ONE,900.0,950.0,895.0,938.7,2860927,,,,,bullish MACD,Strend_bullish,,,bullish VOLEMA,bullish volprice,,Finance & Investments,36679.65
2025-04-16,360ONE,933.95,958.0,917.3,943.75,866333,,,,bullish DEMA,,,,,,,,Finance & Investments,36679.65
2025-04-17,360ONE,954.95,990.6,950.05,956.8,2754876,,,,,,,,,bullish VOLEMA,bullish volprice,,Finance & Investments,36679.65
2025-04-21,360ONE,968.0,985.5,948.0,954.25,2264748,,,,,,,,,,,,Finance & Investments,36679.65
2025-04-22,360ONE,975.0,997.0,953.0,990.6,2088701,,,,,,,,,,,,Finance & Investments,36679.65
2025-04-04,3BBLACKBIO,1716.0,1748.0,1700.0,1727.25,1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-07,3BBLACKBIO,1502.0,1699.75,1502.0,1685.55,8584,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-08,3BBLACKBIO,1698.0,1749.0,1698.0,1732.0,3133,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-09,3BBLACKBIO,1702.0,1733.9,1670.0,1712.25,2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-11,3BBLACKBIO,1778.0,1778.0,1721.5,1736.9,4576,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-15,3BBLACKBIO,1800.0,1840.0,1750.0,1767.4,10835,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-16,3BBLACKBIO,1783.95,1829.0,1770.0,1773.45,7340,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-17,3BBLACKBIO,1774.05,1809.9,1768.0,1781.45,4562,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-21,3BBLACKBIO,1837.9,1837.9,1806.25,1819.5,2611,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-22,3BBLACKBIO,1810.0,1829.0,1780.0,1805.95,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Healthcare,1523.46
2025-04-04,3MINDIA,28996.0,29179.95,27971.0,28326.1,2896,,,,,bearish MACD,,,,,bearish volprice,,Diversified - Large,33298.8
2025-04-07,3MINDIA,27499.95,27957.75,26820.1,27429.7,3942,,,,,bearish MACD,,,,,bearish volprice,,Diversified - Large,33298.8
2025-04-08,3MINDIA,27850.0,28399.9,27504.05,28251.15,2662,,,,,,,,,,,,Diversified - Large,33298.8
2025-04-09,3MINDIA,27902.0,28156.8,27829.15,28028.1,1022,,,,,,,,,,,,Diversified - Large,33298.8
2025-04-11,3MINDIA,28388.0,29199.5,28200.25,29006.3,4190,,,,,bullish MACD,,,,,bullish volprice,,Diversified - Large,33298.8
2025-04-15,3MINDIA,29665.0,30535.0,29185.0,30385.0,10539,,,,,,,,,bullish OBV,bullish volprice,,Diversified - Large,33298.8
2025-04-16,3MINDIA,30295.0,31160.0,30015.0,30715.0,7543,,,,,,,,bearish stochastic,,,,Diversified - Large,33298.8
2025-04-17,3MINDIA,30720.0,30840.0,30150.0,30335.0,2590,,,adx strong trend,,,,,bearish stochastic,,,,Diversified - Large,33298.8
2025-04-21,3MINDIA,30335.0,30465.0,30005.0,30090.0,6437,,,adx strong trend,,,,,,,,,Diversified - Large,33298.8
2025-04-22,3MINDIA,30095.0,30300.0,29840.0,30005.0,6534,Close to resistance,,adx strong trend,,,,,,bearish OBV,,,Diversified - Large,33298.8
2025-04-04,5PAISA,378.0,378.0,349.8,354.85,62533,NA,NA,NA,NA,NA,NA,NA,NA,NA,bearish volprice,NA,Finance & Investments,1180.28
2025-04-07,5PAISA,321.0,363.05,320.6,350.4,45424,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-08,5PAISA,351.3,364.0,351.3,362.3,18174,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-09,5PAISA,360.0,372.8,354.0,365.5,18818,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-11,5PAISA,375.0,382.0,364.0,366.95,42237,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-15,5PAISA,375.0,382.0,370.45,378.55,26399,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-16,5PAISA,378.0,392.95,378.0,385.75,30542,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-17,5PAISA,385.0,387.9,376.6,380.6,23610,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-21,5PAISA,386.25,409.9,381.5,394.05,75413,NA,NA,NA,NA,NA,NA,NA,NA,NA,bullish volprice,NA,Finance & Investments,1180.28
2025-04-22,5PAISA,394.0,405.7,387.15,394.65,50681,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Finance & Investments,1180.28
2025-04-04,63MOONS,810.0,810.0,769.85,769.85,241075,NA,NA,NA,NA,NA,NA,NA,NA,NA,bearish volprice,NA,Computers - Software - Medium / Small,3434.23
2025-04-07,63MOONS,731.35,740.85,731.35,731.35,80341,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
2025-04-08,63MOONS,760.0,760.0,720.3,728.4,175456,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
2025-04-09,63MOONS,720.0,726.25,692.0,692.0,179804,NA,NA,NA,NA,NA,NA,NA,NA,NA,bearish volprice,NA,Computers - Software - Medium / Small,3434.23
2025-04-11,63MOONS,717.0,722.0,682.75,709.95,188974,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
2025-04-15,63MOONS,721.1,745.4,717.7,745.4,228971,NA,NA,NA,NA,NA,NA,NA,NA,NA,bullish volprice,NA,Computers - Software - Medium / Small,3434.23
2025-04-16,63MOONS,746.0,756.3,735.2,741.1,223899,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
2025-04-17,63MOONS,727.05,739.0,712.0,717.2,122805,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
2025-04-21,63MOONS,723.75,753.0,714.55,735.1,229874,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
2025-04-22,63MOONS,738.0,750.45,727.0,735.0,68287,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Computers - Software - Medium / Small,3434.23
