ticker,Industry,Market Capitalization,candle_score_rolled,candle_score
20MICRONS,MINING / MINERALS / METALS,722.51,"[-1.125, -0.6749999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
360ONE,FINANCE & INVESTMENTS,36679.65,"[0.75, -1.0, -1.9249999999999998, -0.95, -2.025, -1.4249999999999998]",-1.4249999999999998
3BBLACKBIO,HEALTHCARE,1523.46,"[0.0, 0.0, -1.5, -1.0499999999999998, -0.75, -0.375]",-0.375
3MINDIA,DIVERSIFIED,33298.8,"[-0.7250000000000001, -0.4, -0.25, 0.0, 0.125, 0.0]",0.0
5PAISA,FINANCE & INVESTMENTS,1180.28,"[0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
63MOONS,COMPUTERS,3434.2300000000005,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
A1L,TRADING,553.16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
AADHARHFC,FINANCE,20238.4,"[-1.625, -1.1749999999999998, 1.0, -0.3250000000000002, -0.32499999999999996, -0.125]",-0.125
AARTIDRUGS,PHARMACEUTICALS,3170.39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
AARTIIND,CHEMICALS,14308.679999999998,"[1.7999999999999998, 1.125, 0.375, -1.125, 0.4500000000000002, 2.8]",2.8
AARTIPHARM,PHARMACEUTICALS,6344.47,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
AAVAS,FINANCE,15957.439999999999,"[-3.425, -3.75, -2.575, -1.5, -2.375, -0.2999999999999998]",-0.2999999999999998
AAYUSHBULL,TRADING,1215.79,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ABB,ELECTRIC EQUIPMENT,111441.56000000001,"[-1.0, -2.2, -0.5499999999999998, -1.3, -2.325, -1.6749999999999998]",-1.6749999999999998
ABBOTINDIA,PHARMACEUTICALS,64281.240000000005,"[-1.7999999999999998, -1.125, 0.25, 0.32499999999999996, 3.0, 2.0]",2.0
ABCAPITAL,FINANCE & INVESTMENTS,49311.61,"[-2.625, -2.0999999999999996, -1.5, -2.25, -2.8, 0.050000000000000044]",0.050000000000000044
ABDL,BREWERIES & DISTILLERIES,8307.43,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ABFRL,TEXTILES,32061.620000000003,"[-2.25, 1.5, -0.6500000000000004, -1.6749999999999998, -4.175, -2.125]",-2.125
ABINFRA,CONSTRUCTION,514.21,"[1.0499999999999998, 0.75, -1.125, 0.8250000000000002, 0.2999999999999998, 0.375]",0.375
ABREL,PAPER,20578.8,"[0.75, -1.325, 1.5750000000000002, -1.75, -2.625, -1.0499999999999998]",-1.0499999999999998
ABSLAMC,FINANCE & INVESTMENTS,18179.13,"[-2.25, -2.5999999999999996, 1.15, 1.0999999999999996, 0.125, -1.225]",-1.225
ACC,CEMENT,38129.25,"[-3.4, -2.375, -3.25, -1.5499999999999998, -2.875, -0.4249999999999998]",-0.4249999999999998
ACCELYA,COMPUTERS,1940.4299999999998,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ACE,ENGINEERING,14945.5,"[-2.625, -2.125, -1.625, -2.625, -2.025, -1.0]",-1.0
ACESOFT,COMPUTERS,506.7799999999999,"[0.0, 0.0, 0.0, 0.0, -1.5, -1.0499999999999998]",-1.0499999999999998
ACGL,AUTO ANCILLARIES,791.83,"[0.375, 0.375, 1.5, 1.0499999999999998, 0.75, 0.375]",0.375
ACI,CHEMICALS,7641.4,"[0.0, 0.0, -1.0, -0.7, -0.5, 0.75]",0.75
ACL,CEMENT,511.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ACLGATI,TRADING,839.9,"[0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ACMESOLAR,ENGINEERING,12661.49,"[-0.09999999999999998, -1.5, -1.1749999999999998, -1.875, -0.07499999999999996, 1.325]",1.325
ADANIENSOL,POWER GENERATION AND SUPPLY,105845.04,"[-2.2, -1.5999999999999996, -1.125, -1.875, -2.8, 1.55]",1.55
ADANIENT,TRADING,278451.85,"[-2.5, -1.75, -2.25, -3.325, -3.025, 2.4]",2.4
ADANIGREEN,POWER GENERATION AND SUPPLY,147758.53,"[-1.8, 0.0, -2.45, -1.375, -1.0, 4.1]",4.1
ADANIPORTS,MISCELLANEOUS,261268.85,"[-3.375, -3.5999999999999996, -1.0499999999999998, -0.4500000000000002, 2.625, 2.0999999999999996]",2.0999999999999996
ADANIPOWER,POWER GENERATION AND SUPPLY,209489.63,"[-2.575, -2.2249999999999996, -2.875, -4.05, -2.9, 2.625]",2.625
ADCINDIA,TELECOMMUNICATIONS,597.06,"[-1.5, -1.0499999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
ADFFOODS,FOOD,2538.95,"[-1.875, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ADOR,ELECTRODES,1520.32,"[0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ADSL,COMPUTERS,1072.67,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ADVAIT,CONSTRUCTION,1397.73,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ADVANIHOTR,HOTELS,559.34,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ADVENZYMES,PHARMACEUTICALS,3213.23,"[0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
AEGISLOG,TRADING,26965.620000000003,"[-0.75, -0.375, 2.125, 1.75, -0.25, 2.075]",2.075
AEROFLEX,STEEL,2229.49,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.875, -1.0499999999999998]",-1.0499999999999998
AETHER,CHEMICALS,11010.31,"[0.4249999999999998, -0.625, 0.050000000000000044, -2.625, 0.5, -2.75]",-2.75
AFCOM,TRANSPORT,1880.98,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.875, -1.0499999999999998]",-1.0499999999999998
AFCONS,CONSTRUCTION,16419.75,"[-2.55, -1.7999999999999998, -0.625, -0.4, 1.375, 1.1749999999999998]",1.1749999999999998
AFFLE,COMPUTERS,21501.54,"[0.0, 0.0, 0.0, -2.5, -1.75, -1.25]",-1.25
AFSL,FINANCE & INVESTMENTS,912.9,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",1.5
AGARIND,PETROCHEMICALS,1516.88,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
AGARWALEYE,HEALTHCARE,13033.21,"[-0.95, -1.75, -0.95, -1.75, -1.95, -1.45]",-1.45
AGI,PACKAGING,5121.12,"[0.25, 0.25, 0.0, 0.0, 0.0, 0.0]",0.0
AGIIL,CONSTRUCTION,1949.78,"[-1.5, 0.4500000000000002, 0.2999999999999998, 0.375, 0.0, 0.375]",0.375
AHLUCONT,CONSTRUCTION,6118.26,"[-1.0, -0.7, -0.5, -1.25, -0.95, -0.5]",-0.5
AIAENG,CASTINGS & FORGINGS,29993.859999999997,"[2.675, 2.4, 1.25, 0.375, -1.35, 0.20000000000000018]",0.20000000000000018
AIIL,FINANCE & INVESTMENTS,28282.620000000003,"[-2.625, -0.9749999999999996, -0.8, -2.75, 0.25, 3.25]",3.25
AJANTPHARM,PHARMACEUTICALS,32763.840000000004,"[0.7, 1.5, 0.95, -1.75, -4.0, -2.75]",-2.75
AJAXENGG,ENGINEERING,7164.140000000001,"[-1.0, -0.7, -0.5, -1.25, -0.95, -0.5]",-0.5
AJMERA,CONSTRUCTION,3360.1,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
AKCAPIT,FINANCE & INVESTMENTS,650.83,"[0.375, 0.0, 0.0, 0.0, 0.0, 1.5]",1.5
AKUMS,PHARMACEUTICALS,7460.49,"[0.95, 0.5, 0.25, 0.25, 0.0, 0.0]",0.0
AKZOINDIA,PAINTS / VARNISHES,15824.810000000001,"[1.875, 1.6749999999999998, 0.75, -1.5, -1.375, -1.25]",-1.25
ALEMBICLTD,CONSTRUCTION,2601.97,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ALICON,CASTINGS & FORGINGS,1089.77,"[0.375, 0.375, 0.0, 0.0, 0.0, 0.0]",0.0
ALIVUS,PHARMACEUTICALS,12077.25,"[0.625, 1.125, 3.325, 2.25, 1.5, 0.875]",0.875
ALKEM,PHARMACEUTICALS,58233.530000000006,"[0.75, -2.25, -1.5, -0.25, 0.07499999999999996, -0.125]",-0.125
ALKYLAMINE,CHEMICALS,8994.95,"[0.0, 0.0, 0.0, -1.0, -0.7, -0.5]",-0.5
ALLCARGO,MISCELLANEOUS,2812.72,"[-1.125, -1.0499999999999998, -0.75, -0.375, -1.875, -1.0499999999999998]",-1.0499999999999998
ALLDIGI,COMPUTERS,1447.57,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ALOKINDS,TEXTILES,7934.469999999999,"[-0.75, -0.44999999999999996, -0.5, -0.25, -0.25, 0.0]",0.0
ALPHALOGIC,COMPUTERS,600.98,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.5]",1.5
AMAL,CHEMICALS,794.43,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.5]",-1.5
AMBER,ELECTRONICS,23291.35,"[-1.7, -1.625, -1.975, -2.7, -1.6749999999999998, -1.125]",-1.125
AMBIKCO,TEXTILES,806.64,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
AMBUJACEM,CEMENT,136506.29,"[-5.1, -3.875, -3.75, -2.425, -1.375, 1.125]",1.125
AMIC,CASTINGS & FORGINGS,1602.96,"[-1.5, -1.0499999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
AMIORG,PHARMACEUTICALS,9626.56,"[-0.25, 0.75, 0.7, 1.5, 0.95, 0.75]",0.75
AMNPLST,CHEMICALS,1179.32,"[0.375, 0.375, 0.0, 0.0, 0.0, 0.0]",0.0
AMRUTANJAN,PHARMACEUTICALS,1893.65,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ANANDRATHI,FINANCE & INVESTMENTS,14778.920000000002,"[1.25, -2.875, -1.8249999999999997, -0.75, -0.17500000000000004, 1.125]",1.125
ANANTRAJ,CONSTRUCTION,15961.64,"[-2.125, -2.5999999999999996, -0.7000000000000002, -0.20000000000000018, -0.25, 0.125]",0.125
ANDHRAPAP,PAPER,1453.4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ANDHRSUGAR,CHLOR ALKALI / SODA ASH,952.0200000000001,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ANDREWYU,DIVERSIFIED,1314.81,"[-1.125, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ANGELONE,FINANCE & INVESTMENTS,20905.83,"[-3.25, -3.7249999999999996, -2.675, -1.5, -1.125, -0.375]",-0.375
ANUHPHR,PHARMACEUTICALS,877.7299999999999,"[1.0499999999999998, 0.75, 0.375, -1.125, -1.0499999999999998, -0.75]",-0.75
ANUP,ENGINEERING,6442.7,"[0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ANURAS,CHEMICALS,7694.63,"[0.7, 0.5, 0.25, 0.25, 0.0, 0.0]",0.0
APARINDS,ELECTRIC EQUIPMENT,20200.64,"[2.925, 1.975, 0.875, 0.5, 0.125, 0.0]",0.0
APCOTEXIND,MISCELLANEOUS,1700.52,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
APEX,AQUACULTURE,678.28,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
APLAPOLLO,STEEL,42909.47,"[0.25, -1.25, -2.05, -0.44999999999999996, -0.17500000000000004, -0.125]",-0.125
APLLTD,PHARMACEUTICALS,16760.91,"[1.875, 1.125, 1.75, 0.7, 0.5, 0.25]",0.25
APOLLO,ELECTRONICS,3613.47,"[-1.5, -1.0499999999999998, 0.75, 0.6749999999999998, 0.375, 1.875]",1.875
APOLLOHOSP,HEALTHCARE,99012.99,"[-2.875, -2.125, -1.25, -2.125, -2.675, -1.45]",-1.45
APOLLOPIPE,PLASTICS PRODUCTS,1714.56,"[-1.5, 0.4500000000000002, 0.2999999999999998, 0.375, 0.0, 0.375]",0.375
APOLLOTYRE,TYRES,27696.73,"[0.07499999999999996, -1.7, -1.2999999999999998, 0.75, 1.9249999999999998, 1.4249999999999998]",1.4249999999999998
APTECHT,COMPUTERS,714.55,"[1.7999999999999998, 1.125, 0.75, 0.375, 0.0, 0.0]",0.0
APTUS,FINANCE,15624.189999999999,"[-3.125, -2.3499999999999996, -0.25, -2.7, -2.0999999999999996, -1.125]",-1.125
AQFINTECH,FINANCE & INVESTMENTS,1389.77,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ARE&M,AUTO ANCILLARIES,18211.0,"[-1.75, -1.2999999999999998, 0.25, -0.675, -1.075, -0.6]",-0.6
ARIHANT,CONSTRUCTION,694.61,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ARIHANTCAP,FINANCE & INVESTMENTS,753.78,"[-1.5, -1.0499999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
ARIHANTSUP,CONSTRUCTION,1720.89,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ARKADE,CONSTRUCTION,3032.88,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ARMANFIN,FINANCE & INVESTMENTS,1501.83,"[1.125, 0.375, 0.375, -1.5, -1.0499999999999998, -0.75]",-0.75
ARROWGREEN-BE,PLASTICS PRODUCTS,933.1299999999999,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ARTEMISMED,HEALTHCARE,3910.66,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
ARTSON,ENGINEERING,523.71,"[-0.75, -0.6749999999999998, 1.125, 0.6749999999999998, 0.375, 0.375]",0.375
ARVIND,TEXTILES,8784.05,"[0.0, 0.0, 0.0, -1.0, -0.7, -0.5]",-0.5
ARVINDFASN,TRADING,5312.36,"[-0.5, -0.25, -0.25, 0.0, 0.0, 0.0]",0.0
ARVSMART,CONSTRUCTION,3157.23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
ARYAMAN,FINANCE & INVESTMENTS,591.23,"[-1.125, -1.0499999999999998, -0.75, 1.125, 0.6749999999999998, 0.75]",0.75
