Name,BSE Code,NSE Code,Industry
3M India,523395,3MINDIA,Diversified - Large
5Paisa Capital,540776,5PAISA,Finance & Investments
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small
A B B,500002,ABB,Electric Equipment
A B Real Estate,500040,ABREL,Paper
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs
Aarti Industries,524208,AARTIIND,Chemicals
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln
Abans Holdings,543712,AHL,Finance & Investments
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational
ACC,500410,ACC,Cement - North India
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small
Action Const.Eq.,532762,ACE,Engineering
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply
Adani Enterp.,512599,ADANIENT,Trading
Adani Ports,532921,ADANIPORTS,Miscellaneous
Adani Power,533096,ADANIPOWER,Power Generation And Supply
Adani Total Gas,542066,ATGL,Miscellaneous
Adani Wilmar,543458,AWL,Solvent Extraction
ADF Foods,519183,ADFFOODS,Food - Processing - Indian
Aditya AMC,543374,ABSLAMC,Finance & Investments
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment
Advait Infratech,543230,,Construction
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln
Aegis Logistics,500003,AEGISLOG,Trading
Aeroflex,543972,AEROFLEX,Steel - Medium / Small
Afcons Infrastr.,544280,AFCONS,Construction
Agarwal Indl.,531921,AGARIND,Petrochemicals
AGI Greenpac,500187,AGI,Packaging
AGI Infra,539042,AGIIL,Construction
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian
Ahluwalia Contr.,532811,AHLUCONT,Construction
AIA Engineering,532683,AIAENG,Castings & Forgings
Aimtron,,AIMTRON,Electronics - Components
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations
Ajmera Realty,513349,AJMERA,Construction
Akums Drugs,544222,AKUMS,Pharmaceuticals - Indian - Bulk Drugs & Formln
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes
Alembic,506235,ALEMBICLTD,Construction
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln
Alicon Cast.,531147,ALICON,Castings & Forgings
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln
Alkyl Amines,506767,ALKYLAMINE,Chemicals
All E Tech,,ALLETEC,Computers - Software - Medium / Small
Alldigi Tech,532633,ALLDIGI,Computers - Software - Medium / Small
Allied Blenders,544203,ABDL,Breweries & Distilleries
Alpex Solar,,ALPEXSOLAR,Electric Equipment
Amara Raja Ener.,500008,ARE&M,Auto Ancillaries
Amber Enterp.,540902,AMBER,Electronics - Components
Ambuja Cements,500425,AMBUJACEM,Cement - North India
Amic Forging,544037,,Castings & Forgings
Amines & Plast.,506248,AMNPLST,Chemicals
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals - Indian - Formulations
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments
Anant Raj,515055,ANANTRAJ,Construction
Andhra Paper,502330,ANDHRAPAP,Paper
Andhra Sugars,590062,ANDHRSUGAR,Chlor Alkali / Soda Ash
Antony Waste han,543254,AWHCL,Miscellaneous
Anuh Pharma,506260,ANUHPHR,Pharmaceuticals - Indian - Bulk Drugs
Apar Inds.,532259,APARINDS,Electric Equipment
Apcotex Industri,523694,APCOTEXIND,Miscellaneous
Apeejay Surrend.,544111,PARKHOTELS,Hotels
APL Apollo Tubes,533758,APLAPOLLO,Steel - Large
Apollo Hospitals,508869,APOLLOHOSP,Healthcare
Apollo Tyres,500877,APOLLOTYRE,Tyres
Aptech,532475,APTECHT,Computers - Education
Archean Chemical,543657,ACI,Chemicals
Arihant Capital,511605,ARIHANTCAP,Finance & Investments
Arihant Super.,506194,ARIHANTSUP,Construction
Arkade,544261,ARKADE,Construction
Arman Financial,531179,ARMANFIN,Finance & Investments
Arrow Greentech,516064,ARROWGREEN,Plastics Products
Artemis Medicare,542919,ARTEMISMED,Healthcare
Arvind Fashions.,542484,ARVINDFASN,Trading
Arvind Ltd,500101,ARVIND,Textiles - Cotton/Blended
Arvind SmartSp.,539301,ARVSMART,Construction
Asahi India Glas,515030,ASAHIINDIA,Glass & Glass Products
Ashapura Minech.,527001,ASHAPURMIN,Mining / Minerals / Metals
Ashiana Housing,523716,ASHIANA,Construction
Ashika Credit,543766,,Finance & Investments
Ashoka Buildcon,533271,ASHOKA,Engineering - Turnkey Services
Asian Energy,530355,ASIANENE,Oil Drilling / Allied Services
Asian Granito,532888,ASIANTILES,Ceramics - Tiles / Sanitaryware
Asian Paints,500820,ASIANPAINT,Paints / Varnishes
ASK Automotive,544022,ASKAUTOLTD,Auto Ancillaries
Assoc.Alcohols,507526,ASALCBR,Breweries & Distilleries
Aster DM Health.,540975,ASTERDM,Healthcare
Astra Microwave,532493,ASTRAMICRO,Telecommunications - Equipment
Astral,532830,ASTRAL,Plastics Products
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational
Atul,500027,ATUL,Chemicals
Atul Auto,531795,ATULAUTO,Automobiles - Scooters And 3 - Wheelers
Aurionpro Sol.,532668,AURIONPRO,Computers - Software - Medium / Small
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln
Authum Invest,539177,AIIL,Finance & Investments
Automotive Axles,505010,AUTOAXLES,Auto Ancillaries
Avadh Sugar,540649,AVADHSUGAR,Sugar
Avalon Tech,543896,AVALON,Electronics - Components
Avantel,532406,AVANTEL,Telecommunications - Equipment
Avanti Feeds,512573,AVANTIFEED,Food - Processing - Indian
Avenue Super.,540376,DMART,Trading
AVT Natural Prod,519105,AVTNPL,Food - Processing - Indian
AXISCADES Tech.,532395,AXISCADES,Computers - Software - Medium / Small
AYM Syntex,508933,AYMSYNTEX,Textiles - Processing
Azad Engineering,544061,AZAD,Engineering
B P C L,500547,BPCL,Refineries
B.L.Kashyap,532719,BLKASHYAP,Construction
Baazar Style,544243,STYLEBAAZA,Trading
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers
Bajaj Consumer,533229,BAJAJCON,Personal Care - Indian
Bajaj Healthcare,539872,BAJAJHCARE,Pharmaceuticals - Indian - Bulk Drugs & Formln
Bajaj Hindusthan,500032,BAJAJHIND,Sugar
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments
Bajel Projects,544042,BAJEL,Engineering - Turnkey Services
Balaji Amines,530999,BALAMINES,Chemicals
Balkrishna Inds,502355,BALKRISIND,Tyres
Balmer Law. Inv.,532485,,Finance & Investments
Balmer Lawrie,523319,BALMLAWRIE,Diversified - Large
Balrampur Chini,500038,BALRAMCHIN,Sugar
Balu Forge,531112,BALUFORGE,Castings & Forgings
Banco Products,500039,BANCOINDIA,Auto Ancillaries
